timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W]
2026/04/02 09:41:13.400, 80761 MiB, 97887 MiB, 0 %, 0 %, 116.98 W
2026/04/02 09:41:15.403, 80761 MiB, 97887 MiB, 0 %, 0 %, 94.44 W
2026/04/02 09:41:17.403, 85121 MiB, 97887 MiB, 100 %, 31 %, 353.54 W
2026/04/02 09:41:19.403, 85121 MiB, 97887 MiB, 100 %, 16 %, 349.99 W
2026/04/02 09:41:21.404, 85121 MiB, 97887 MiB, 100 %, 1 %, 350.01 W
2026/04/02 09:41:23.404, 85121 MiB, 97887 MiB, 100 %, 20 %, 350.00 W
2026/04/02 09:41:25.404, 85121 MiB, 97887 MiB, 100 %, 10 %, 350.00 W
2026/04/02 09:41:27.404, 84881 MiB, 97887 MiB, 0 %, 0 %, 178.84 W
2026/04/02 09:41:29.404, 85141 MiB, 97887 MiB, 100 %, 20 %, 349.99 W
2026/04/02 09:41:31.405, 85141 MiB, 97887 MiB, 100 %, 30 %, 349.97 W
2026/04/02 09:41:33.405, 85141 MiB, 97887 MiB, 100 %, 30 %, 349.96 W
2026/04/02 09:41:35.405, 85141 MiB, 97887 MiB, 100 %, 28 %, 350.00 W
2026/04/02 09:41:37.405, 85141 MiB, 97887 MiB, 100 %, 27 %, 350.03 W
2026/04/02 09:41:39.405, 85141 MiB, 97887 MiB, 100 %, 31 %, 349.70 W
2026/04/02 09:41:41.406, 85141 MiB, 97887 MiB, 100 %, 30 %, 349.96 W
2026/04/02 09:41:43.406, 85141 MiB, 97887 MiB, 100 %, 18 %, 350.00 W
2026/04/02 09:41:45.406, 85141 MiB, 97887 MiB, 100 %, 30 %, 350.06 W
2026/04/02 09:41:47.406, 85141 MiB, 97887 MiB, 100 %, 30 %, 349.99 W
2026/04/02 09:41:49.406, 85141 MiB, 97887 MiB, 100 %, 31 %, 349.99 W
2026/04/02 09:41:51.407, 85141 MiB, 97887 MiB, 100 %, 24 %, 349.93 W
2026/04/02 09:41:53.407, 85141 MiB, 97887 MiB, 100 %, 31 %, 350.02 W
2026/04/02 09:41:55.408, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.00 W
2026/04/02 09:41:57.408, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.99 W
2026/04/02 09:41:59.408, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.00 W
2026/04/02 09:42:01.408, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.99 W
2026/04/02 09:42:03.408, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.00 W
2026/04/02 09:42:05.409, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.01 W
2026/04/02 09:42:07.409, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.03 W
2026/04/02 09:42:09.409, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.99 W
2026/04/02 09:42:11.409, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.01 W
2026/04/02 09:42:13.410, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.01 W
2026/04/02 09:42:15.410, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.00 W
2026/04/02 09:42:17.410, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.01 W
2026/04/02 09:42:19.410, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.95 W
2026/04/02 09:42:21.410, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.98 W
2026/04/02 09:42:23.411, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.95 W
2026/04/02 09:42:25.411, 85141 MiB, 97887 MiB, 100 %, 66 %, 350.00 W
2026/04/02 09:42:27.411, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.96 W
2026/04/02 09:42:29.411, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:42:31.411, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:42:33.411, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:35.412, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:42:37.412, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:39.412, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.98 W
2026/04/02 09:42:41.412, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:43.412, 85141 MiB, 97887 MiB, 100 %, 66 %, 349.99 W
2026/04/02 09:42:45.413, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:47.413, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:42:49.413, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:51.413, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.02 W
2026/04/02 09:42:53.413, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:55.414, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:57.414, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:42:59.414, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.98 W
2026/04/02 09:43:01.414, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.98 W
2026/04/02 09:43:03.414, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.98 W
2026/04/02 09:43:05.415, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:07.415, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:43:09.415, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:43:11.415, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.01 W
2026/04/02 09:43:13.415, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:15.416, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:17.416, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:19.416, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:21.416, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:23.416, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:25.417, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:27.417, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:29.417, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.98 W
2026/04/02 09:43:31.417, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:43:33.417, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:35.418, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:37.418, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:39.418, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.98 W
2026/04/02 09:43:41.418, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.94 W
2026/04/02 09:43:43.418, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:45.419, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.01 W
2026/04/02 09:43:47.419, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:43:49.419, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.01 W
2026/04/02 09:43:51.419, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:43:53.419, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:55.420, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:57.420, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:43:59.420, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.98 W
2026/04/02 09:44:01.420, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.01 W
2026/04/02 09:44:03.420, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:44:05.421, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:44:07.421, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.93 W
2026/04/02 09:44:09.421, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:44:11.421, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.97 W
2026/04/02 09:44:13.421, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.98 W
2026/04/02 09:44:15.422, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:44:17.422, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:44:19.422, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.97 W
2026/04/02 09:44:21.422, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:44:23.423, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:44:25.423, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:44:27.423, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.99 W
2026/04/02 09:44:29.423, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.99 W
2026/04/02 09:44:31.423, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.97 W
2026/04/02 09:44:33.423, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.94 W
2026/04/02 09:44:35.424, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.99 W
2026/04/02 09:44:37.424, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.99 W
2026/04/02 09:44:39.424, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.99 W
2026/04/02 09:44:41.424, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.99 W
2026/04/02 09:44:43.424, 85141 MiB, 97887 MiB, 99 %, 65 %, 350.01 W
2026/04/02 09:44:45.425, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:44:47.425, 85141 MiB, 97887 MiB, 100 %, 64 %, 350.01 W
2026/04/02 09:44:49.425, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.97 W
2026/04/02 09:44:51.425, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.99 W
2026/04/02 09:44:53.425, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.01 W
2026/04/02 09:44:55.426, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.00 W
2026/04/02 09:44:57.426, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.97 W
2026/04/02 09:44:59.426, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.02 W
2026/04/02 09:45:01.426, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.97 W
2026/04/02 09:45:03.426, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.98 W
2026/04/02 09:45:05.427, 85141 MiB, 97887 MiB, 99 %, 65 %, 350.03 W
2026/04/02 09:45:07.427, 85141 MiB, 97887 MiB, 100 %, 64 %, 350.00 W
2026/04/02 09:45:09.427, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:45:11.427, 85141 MiB, 97887 MiB, 100 %, 64 %, 349.95 W
2026/04/02 09:45:13.427, 85141 MiB, 97887 MiB, 99 %, 64 %, 350.00 W
2026/04/02 09:45:15.427, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.97 W
2026/04/02 09:45:17.428, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:45:19.428, 85141 MiB, 97887 MiB, 99 %, 65 %, 349.99 W
2026/04/02 09:45:21.428, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:45:23.428, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:45:25.428, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:45:27.429, 85141 MiB, 97887 MiB, 99 %, 64 %, 349.99 W
2026/04/02 09:45:29.429, 85141 MiB, 97887 MiB, 99 %, 64 %, 350.01 W
2026/04/02 09:45:31.429, 85141 MiB, 97887 MiB, 99 %, 64 %, 350.00 W
2026/04/02 09:45:33.429, 85141 MiB, 97887 MiB, 99 %, 64 %, 350.04 W
2026/04/02 09:45:35.429, 85141 MiB, 97887 MiB, 99 %, 65 %, 349.98 W
2026/04/02 09:45:37.429, 85141 MiB, 97887 MiB, 100 %, 64 %, 350.00 W
2026/04/02 09:45:39.430, 85141 MiB, 97887 MiB, 100 %, 64 %, 350.00 W
2026/04/02 09:45:41.430, 85141 MiB, 97887 MiB, 100 %, 64 %, 350.01 W
2026/04/02 09:45:43.430, 85141 MiB, 97887 MiB, 100 %, 65 %, 350.01 W
2026/04/02 09:45:45.430, 85141 MiB, 97887 MiB, 100 %, 65 %, 349.99 W
2026/04/02 09:45:47.430, 85141 MiB, 97887 MiB, 96 %, 17 %, 350.01 W
2026/04/02 09:45:49.430, 85141 MiB, 97887 MiB, 0 %, 0 %, 320.99 W
