key,total_ms,count,avg_ms,min_ms,max_ms
L00/minicpm4/attn/decode,25.279,8,3.159872,0.316288,22.662657
L00/minicpm4/attn/prefill,3844.721,28,137.311477,0.643296,354.196014
L00/minicpm4/attn_kernel/decode,2.241,8,0.280104,0.125728,1.131040
L00/minicpm4/attn_kernel/prefill,3432.085,28,122.574472,0.203456,336.944580
L00/minicpm4/input_norm/decode,0.843,8,0.105364,0.029696,0.564000
L00/minicpm4/input_norm/prefill,9.108,28,0.325275,0.058624,0.365824
L00/minicpm4/mlp/decode,1.124,8,0.140476,0.100480,0.403968
L00/minicpm4/mlp/prefill,1674.941,28,59.819312,0.117824,71.455841
L00/minicpm4/o_gate/decode,2.809,8,0.351144,0.049440,2.407776
L00/minicpm4/o_gate/prefill,144.896,28,5.174846,0.081760,6.119552
L00/minicpm4/o_proj/decode,0.328,8,0.040948,0.033824,0.069088
L00/minicpm4/o_proj/prefill,124.842,28,4.458627,0.051520,5.308928
L00/minicpm4/post_attn_norm/decode,4.599,8,0.574864,0.039072,4.291968
L00/minicpm4/post_attn_norm/prefill,30.486,28,1.088787,0.037376,1.231744
L00/minicpm4/qkv_proj/decode,19.410,8,2.426292,0.048928,18.956064
L00/minicpm4/qkv_proj/prefill,142.682,28,5.095790,0.220512,5.993376
L01/lightning-attn/attn/decode,10.230,8,1.278756,0.578464,5.309568
L01/lightning-attn/attn/prefill,935.034,28,33.394075,0.971168,45.942112
L01/lightning-attn/input_norm/decode,0.124,8,0.015480,0.004096,0.035072
L01/lightning-attn/input_norm/prefill,8.931,28,0.318968,0.004096,0.362624
L01/lightning-attn/mlp/decode,0.830,8,0.103708,0.098720,0.111424
L01/lightning-attn/mlp/prefill,1716.990,28,61.321088,0.111232,70.616447
L01/lightning-attn/post_attn_norm/decode,0.328,8,0.041032,0.037952,0.048832
L01/lightning-attn/post_attn_norm/prefill,30.653,28,1.094766,0.015392,1.389216
L01/lightning/chunk_simple_gla/prefill,79.323,27,2.937874,0.453568,13.081568
L01/lightning/fla_kernel/decode,6.043,8,0.755396,0.266016,3.473984
L01/lightning/fla_kernel/prefill,88.715,28,3.168383,0.632608,13.181408
L01/lightning/fla_state_load/decode,0.689,8,0.086160,0.040384,0.372064
L01/lightning/fla_state_load/prefill,3.757,28,0.134195,0.033184,1.675968
L01/lightning/fla_state_save/decode,0.387,8,0.048316,0.038432,0.088320
L01/lightning/fla_state_save/prefill,0.568,28,0.020289,0.012736,0.093664
L01/lightning/fused_recurrent_gla/decode,4.576,8,0.571960,0.140384,2.945120
L01/lightning/fused_recurrent_gla/prefill,1.649,1,1.648640,1.648640,1.648640
L01/lightning/o_norm/decode,0.245,8,0.030604,0.026528,0.040800
L01/lightning/o_norm/prefill,8.800,28,0.314275,0.032672,0.496704
L01/lightning/o_proj/decode,0.288,8,0.036048,0.032160,0.045280
L01/lightning/o_proj/prefill,133.317,28,4.761313,0.054400,7.391040
L01/lightning/qk_norm/decode,0.359,8,0.044864,0.030816,0.064928
L01/lightning/qk_norm/prefill,72.878,28,2.602781,0.025760,3.517504
L01/lightning/qkv_proj/decode,0.353,8,0.044112,0.038016,0.056608
L01/lightning/qkv_proj/prefill,383.447,28,13.694551,0.046048,18.910721
L01/lightning/rope/decode,1.820,8,0.227500,0.050176,1.437952
L01/lightning/rope/prefill,91.476,28,3.266998,0.022144,4.279936
L01/lightning/sigmoid_gate/decode,0.434,8,0.054300,0.046432,0.073952
L01/lightning/sigmoid_gate/prefill,156.141,28,5.576456,0.093120,8.317536
L02/lightning-attn/attn/decode,4.499,8,0.562344,0.528320,0.626528
L02/lightning-attn/attn/prefill,895.145,28,31.969473,0.616576,36.780254
L02/lightning-attn/input_norm/decode,0.096,8,0.012040,0.004096,0.024448
L02/lightning-attn/input_norm/prefill,8.960,28,0.320005,0.006112,0.364544
L02/lightning-attn/mlp/decode,0.820,8,0.102496,0.099360,0.106432
