timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W]
2026/04/02 10:48:46.762, 80921 MiB, 97887 MiB, 0 %, 0 %, 137.74 W
2026/04/02 10:48:48.765, 81083 MiB, 97887 MiB, 0 %, 0 %, 126.12 W
2026/04/02 10:48:50.766, 91147 MiB, 97887 MiB, 100 %, 29 %, 315.35 W
2026/04/02 10:48:52.766, 91147 MiB, 97887 MiB, 100 %, 32 %, 349.86 W
2026/04/02 10:48:54.766, 91927 MiB, 97887 MiB, 100 %, 32 %, 350.25 W
2026/04/02 10:48:56.766, 92187 MiB, 97887 MiB, 100 %, 29 %, 349.94 W
2026/04/02 10:48:58.767, 92187 MiB, 97887 MiB, 100 %, 32 %, 350.51 W
2026/04/02 10:49:00.767, 82043 MiB, 97887 MiB, 0 %, 0 %, 300.90 W
2026/04/02 10:49:02.767, 92307 MiB, 97887 MiB, 100 %, 29 %, 330.55 W
2026/04/02 10:49:04.767, 92307 MiB, 97887 MiB, 100 %, 32 %, 350.01 W
2026/04/02 10:49:06.767, 92307 MiB, 97887 MiB, 100 %, 26 %, 350.45 W
2026/04/02 10:49:08.768, 92307 MiB, 97887 MiB, 100 %, 28 %, 350.50 W
2026/04/02 10:49:10.768, 92307 MiB, 97887 MiB, 100 %, 29 %, 349.99 W
2026/04/02 10:49:12.768, 92307 MiB, 97887 MiB, 97 %, 54 %, 347.90 W
2026/04/02 10:49:14.768, 92307 MiB, 97887 MiB, 100 %, 32 %, 350.27 W
2026/04/02 10:49:16.768, 92307 MiB, 97887 MiB, 100 %, 24 %, 350.08 W
2026/04/02 10:49:18.769, 92307 MiB, 97887 MiB, 100 %, 32 %, 349.89 W
2026/04/02 10:49:20.769, 92307 MiB, 97887 MiB, 100 %, 31 %, 350.10 W
2026/04/02 10:49:22.769, 92307 MiB, 97887 MiB, 100 %, 32 %, 350.08 W
2026/04/02 10:49:24.769, 92307 MiB, 97887 MiB, 100 %, 31 %, 350.05 W
2026/04/02 10:49:26.770, 92307 MiB, 97887 MiB, 100 %, 32 %, 359.04 W
2026/04/02 10:49:28.770, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.69 W
2026/04/02 10:49:30.771, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.95 W
2026/04/02 10:49:32.771, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.00 W
2026/04/02 10:49:34.771, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.97 W
2026/04/02 10:49:36.771, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.95 W
2026/04/02 10:49:38.771, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.07 W
2026/04/02 10:49:40.772, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.05 W
2026/04/02 10:49:42.772, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.01 W
2026/04/02 10:49:44.772, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.03 W
2026/04/02 10:49:46.772, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.05 W
2026/04/02 10:49:48.772, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.96 W
2026/04/02 10:49:50.773, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.97 W
2026/04/02 10:49:52.773, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.98 W
2026/04/02 10:49:54.773, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.91 W
2026/04/02 10:49:56.773, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.90 W
2026/04/02 10:49:58.773, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.96 W
2026/04/02 10:50:00.774, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.03 W
2026/04/02 10:50:02.774, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.98 W
2026/04/02 10:50:04.774, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.98 W
2026/04/02 10:50:06.774, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.96 W
2026/04/02 10:50:08.774, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.04 W
2026/04/02 10:50:10.775, 92307 MiB, 97887 MiB, 97 %, 52 %, 350.04 W
2026/04/02 10:50:12.775, 92307 MiB, 97887 MiB, 97 %, 52 %, 349.99 W
