key,total_ms,count,avg_ms,min_ms,max_ms
L00/minicpm4/attn/decode,231.802,8,28.975252,0.508992,222.310623
L00/minicpm4/attn/prefill,5245.285,28,187.331625,2.090784,470.772308
L00/minicpm4/attn_kernel/decode,209.801,8,26.225152,0.340256,201.737411
L00/minicpm4/attn_kernel/prefill,4929.839,28,176.065688,1.739200,460.852905
L00/minicpm4/input_norm/decode,0.820,8,0.102508,0.025856,0.561344
L00/minicpm4/input_norm/prefill,8.975,28,0.320547,0.057152,0.367328
L00/minicpm4/mlp/decode,1.087,8,0.135928,0.096448,0.383840
L00/minicpm4/mlp/prefill,1132.663,28,40.452254,0.113696,68.147392
L00/minicpm4/o_gate/decode,2.678,8,0.334780,0.026112,2.286048
L00/minicpm4/o_gate/prefill,101.086,28,3.610230,0.119040,5.766848
L00/minicpm4/o_proj/decode,0.334,8,0.041708,0.030144,0.071456
L00/minicpm4/o_proj/prefill,80.617,28,2.879169,0.057120,4.997088
L00/minicpm4/post_attn_norm/decode,0.405,8,0.050628,0.037280,0.100128
L00/minicpm4/post_attn_norm/prefill,29.887,28,1.067378,0.039648,1.230496
L00/minicpm4/qkv_proj/decode,18.522,8,2.315300,0.042816,18.102016
L00/minicpm4/qkv_proj/prefill,133.327,28,4.761690,0.088000,5.981760
L01/lightning-attn/attn/decode,9.513,8,1.189088,0.517664,5.027040
L01/lightning-attn/attn/prefill,912.471,28,32.588238,0.790912,52.530560
L01/lightning-attn/input_norm/decode,0.100,8,0.012520,0.003840,0.032896
L01/lightning-attn/input_norm/prefill,8.737,28,0.312043,0.004096,0.362592
L01/lightning-attn/mlp/decode,0.813,8,0.101664,0.096160,0.110400
L01/lightning-attn/mlp/prefill,1731.857,28,61.852030,0.099104,82.237473
L01/lightning-attn/post_attn_norm/decode,0.290,8,0.036228,0.032384,0.043264
L01/lightning-attn/post_attn_norm/prefill,38.609,28,1.378886,0.012480,2.281248
L01/lightning/chunk_simple_gla/prefill,85.700,26,3.296139,0.441600,8.192160
L01/lightning/fla_kernel/decode,5.639,8,0.704920,0.231168,3.315712
L01/lightning/fla_kernel/prefill,94.090,28,3.360357,0.426272,8.376608
L01/lightning/fla_state_load/decode,0.699,8,0.087332,0.036544,0.401248
L01/lightning/fla_state_load/prefill,5.013,28,0.179032,0.032608,2.688064
L01/lightning/fla_state_save/decode,0.358,8,0.044744,0.032832,0.086720
L01/lightning/fla_state_save/prefill,0.625,28,0.022313,0.009376,0.076992
L01/lightning/fused_recurrent_gla/decode,4.234,8,0.529256,0.119104,2.766880
L01/lightning/fused_recurrent_gla/prefill,1.465,2,0.732640,0.211104,1.254176
L01/lightning/o_norm/decode,0.219,8,0.027360,0.023872,0.035968
L01/lightning/o_norm/prefill,9.914,28,0.354075,0.028576,0.899872
L01/lightning/o_proj/decode,0.261,8,0.032580,0.030240,0.037472
L01/lightning/o_proj/prefill,158.935,28,5.676266,0.033664,10.165664
L01/lightning/qk_norm/decode,0.329,8,0.041064,0.029056,0.059296
L01/lightning/qk_norm/prefill,69.520,28,2.482848,0.025632,3.183680
L01/lightning/qkv_proj/decode,0.331,8,0.041360,0.035872,0.056608
L01/lightning/qkv_proj/prefill,317.765,28,11.348752,0.052704,16.440384
L01/lightning/rope/decode,1.717,8,0.214568,0.044864,1.352128
L01/lightning/rope/prefill,91.942,28,3.283643,0.060960,5.406304
L01/lightning/sigmoid_gate/decode,0.382,8,0.047800,0.042432,0.060256
L01/lightning/sigmoid_gate/prefill,169.950,28,6.069648,0.047968,11.637408
L02/lightning-attn/attn/decode,4.055,8,0.506816,0.478048,0.566656
L02/lightning-attn/attn/prefill,792.256,28,28.294857,0.625088,36.069824
L02/lightning-attn/input_norm/decode,0.038,8,0.004804,0.003584,0.010272
L02/lightning-attn/input_norm/prefill,8.734,28,0.311914,0.003072,0.366592
L02/lightning-attn/mlp/decode,0.799,8,0.099928,0.096544,0.104800
L02/lightning-attn/mlp/prefill,1657.066,28,59.180932,0.100640,74.823135
L02/lightning-attn/post_attn_norm/decode,0.271,8,0.033820,0.032064,0.036480
L02/lightning-attn/post_attn_norm/prefill,29.988,28,1.071017,0.009216,1.231392
